date,imported_cases,daily_local_cases,acc_cases
2022/4/15,3,0,3
2022/4/16,3,0,6
2022/4/17,5,3,14
2022/4/18,1,2,17
2022/4/19,0,2,19
2022/4/20,0,1,20
2022/4/21,1,1,22
2022/4/22,2,6,30
2022/4/23,1,22,53
2022/4/24,1,19,73
2022/4/25,0,32,105
2022/4/26,0,34,139
2022/4/27,1,50,190
2022/4/28,4,49,243
2022/4/29,2,52,297
2022/4/30,1,59,357
2022/5/1,0,39,396
2022/5/2,0,60,456
2022/5/3,1,51,508
2022/5/4,1,50,559
2022/5/5,0,72,631
2022/5/6,2,49,682
2022/5/7,0,62,744
2022/5/8,0,44,788
2022/5/9,1,71,860
2022/5/10,2,35,897
2022/5/11,0,45,942
2022/5/12,2,47,991
2022/5/13,1,55,1047
2022/5/14,1,34,1082
2022/5/15,0,49,1131
2022/5/16,0,44,1175
2022/5/17,0,60,1235
2022/5/18,0,53,1288
2022/5/19,1,56,1345
2022/5/20,1,68,1414
2022/5/21,0,60,1474
2022/5/22,0,96,1570
2022/5/23,0,46,1616
2022/5/24,0,43,1659
2022/5/25,2,43,1704
2022/5/26,1,27,1732
2022/5/27,5,23,1760
2022/5/28,0,11,1779
2022/5/29,0,18,1790
2022/5/30,0,14,1808
2022/5/31,0,14,1822
2022/6/1,0,15,1836
2022/6/2,1,5,1852
2022/6/3,9,,1866
2022/6/4,1,5,1884
2022/6/5,0,2,1889
2022/6/6,1,7,1892
2022/6/7,1,0,1900
2022/6/8,1,8,1901
2022/6/9,8,61,1917
2022/6/10,9,64,1987
2022/6/11,0,,2051
