,date,acc_cases,daily_cases,cases_7dma
0,2022-04-22,8,8,4
1,2022-04-23,31,23,7
2,2022-04-24,51,20,8
3,2022-04-25,83,32,13
4,2022-04-26,117,34,17
5,2022-04-27,168,51,24
6,2022-04-28,221,53,32
7,2022-04-29,275,54,38
8,2022-04-30,335,60,43
9,2022-05-01,374,39,46
10,2022-05-02,434,60,50
11,2022-05-03,486,52,53
12,2022-05-04,537,51,53
13,2022-05-05,609,72,55
14,2022-05-06,660,51,55
15,2022-05-07,722,62,55
16,2022-05-08,766,44,56
17,2022-05-09,838,72,58
18,2022-05-10,875,37,56
19,2022-05-11,920,45,55
20,2022-05-12,969,49,51
21,2022-05-13,1025,56,52
22,2022-05-14,1060,35,48
23,2022-05-15,1109,49,49
24,2022-05-16,1153,44,45
25,2022-05-17,1213,60,48
26,2022-05-18,1266,53,49
